X,Y,OBJECTID,LOCID,FACILITY_C,DATE,EST_AREA
-8932265.9434,4939618.1323,1,PIT,"Delta Air Lines; United Parcel Service",09/2018,74000
-8931996.0934,4939519.2567,2,PIT,Federal Express,09/2018,73000
-8931632.274,4939487.1293,3,PIT, ,09/2018,65000
-8930019.1499,4938284.5603,4,PIT, ,09/2018,55000
-8769327.0594,4285470.3082,5,RDU,Federal Express,09/2018,63000
-8769741.4741,4285073.1957,6,RDU, ,09/2018,8000
-8769534.2627,4285281.4319,7,RDU,United Parcel Service,09/2018,36000
-9919021.605,5191138.7826,8,RFD,United Parcel Service,09/2018,539000
-9919352.302,5190894.7781,9,RFD, ,09/2018,72000
-9918581.9719,5191230.0914,10,RFD, ,09/2018,20000
-8608976.7604,4509428.0654,11,RIC,Federal Express,09/2018,18000
-13333309.7861,4795003.5843,12,RNO,"Alaska Airlines; DHL Airlines; United Parcel Service",09/2018,56000
-13045285.4664,3860597.7344,13,SAN,Federal Express,09/2018,18000
-10960238.9691,3443417.6336,14,SAT,DHL Airlines,09/2018,20000
-10960155.6478,3443562.9246,15,SAT, ,09/2018,33000
-9545525.9112,4604534.2163,16,SDF,Federal Express,09/2018,104000
-9545895.2061,4604610.4735,17,SDF,United Parcel Service,09/2018,67000
-9545907.9337,4604472.9408,18,SDF, ,09/2018,28000
-9545749.0921,4604417.1049,19,SDF,"Midwest Airlines; Pace Airlines",09/2018,82000
-9545655.0179,4604321.6752,20,SDF,Alside Supply Center,09/2018,41000
-9542998.8376,4605483.4253,21,SDF,Ameriflight,09/2018,60000
-9543882.7046,4601572.2314,22,SDF,United Parcel Service,09/2018,688000
-9543901.9021,4603481.0608,23,SDF,United Parcel Service,09/2018,4994000
-9545058.5462,4605424.0121,24,SDF,"Derby City Trucking; Worldwide Flight Services",09/2018,69000
-13614435.0389,6017535.5685,25,SEA,Federal Express,09/2018,84000
-13614493.1157,6017383.064,26,SEA,"Accelerated Global Logistics, LLC; Raymond Express International",09/2018,33000
-13614627.9674,6017234.9712,27,SEA,Emirates,09/2018,45000
-13614499.4867,6017232.6911,28,SEA,United Parcel Service,09/2018,21000
-13614747.5656,6016758.8124,29,SEA,Worldwide Flight Services,09/2018,45000
-13614553.6105,6016956.4103,30,SEA,Alaska Airlines,09/2018,66000
-13614710.1908,6018183.1517,31,SEA,US Airways,09/2018,59000
-13614547.3368,6018137.6616,32,SEA, ,09/2018,29000
-13614476.5626,6018137.4208,33,SEA,Federal Express,09/2018,29000
-13614358.9486,6018135.9356,34,SEA,Matheson Flight Extenders,09/2018,27000
-13614467.1784,6017996.4968,35,SEA,"DHL Airlines; Hanjin Global Logistics; Integrated Airline Services; Korean Air Lines",09/2018,84000
-13614689.2456,6016311.0631,36,SEA,"China Airlines; Martinair Holland; Swissport Cargo Services",09/2018,54000
-13614277.3,6013396.9853,37,SEA,Delta Air Lines,09/2018,65000
-13624361.0513,4528129.4441,38,SFO,American Airlines,09/2018,82000
-13624139.3165,4528337.5874,39,SFO,"Alaska Airlines; All Nippon Airways; Lufthansa German Airlines; Taca International Airlines Cargo",09/2018,216000
-13625136.1658,4525431.4932,40,SFO,United Air Lines,09/2018,155000
-13625290.0665,4525781.5795,41,SFO,Southwest Airlines,09/2018,76000
-13625365.1833,4526019.2456,42,SFO,"Air Canada; Delta Air Lines; EVA Airways; Servisair",09/2018,86000
-13625024.1561,4526152.9687,43,SFO,Swiss World Airways,09/2018,75000
-13624924.2856,4526481.215,44,SFO,"Asiana Airlines; China Airlines; Japan Air Lines; Virgin Atlantic Airways",09/2018,107000
-7346395.3812,2088870.72,45,SJU,"Cargo Service Corp; Federal Express; GMD Airline Services; United Air Lines",09/2018,98000
-7346178.9248,2088824.9511,46,SJU,"Carico, Inc.",09/2018,166000
-7346706.2281,2088878.0604,47,SJU,American Airlines,09/2018,109000
-13535998.5636,4677432.3667,48,SLC,"Alaska Airlines; Federal Express; Southwest Airlines",09/2018,33000
-10057588.9044,4685852.0649,49,STL,"Federal Express; Forward Air",09/2018,141000
-9186071.9949,3245921.3256,50,TPA,Federal Express,09/2018,92000
-9186244.733,3246954.8459,51,TPA,"Air General; British Airways; Continental Air Lines; Delta Air Lines",09/2018,87000
-11336099.4999,3985177.5501,52,LBB, ,07/2018,24000
-11336100.6858,3985015.9133,53,LBB,Federal Express,07/2018,35000
-9230648.6154,4841072.0477,54,LCK, ,07/2018,53000
-9230708.0656,4840843.4969,55,LCK, ,07/2018,100000
-9231265.7545,4840294.1672,56,LCK,Federal Express,07/2018,256000
-9231717.9928,4840120.487,57,LCK,Worldwide Flight Services,07/2018,40000
-7953054.7645,5300238.7638,58,MHT,United Parcel Service,07/2018,25000
-7952704.5585,5300306.1591,59,MHT,"Southwest Airlines; United Parcel Service",07/2018,25000
-7952456.6899,5300364.9567,60,MHT,Federal Express,07/2018,21000
-9785833.9585,5303515.3058,61,MKE,United States Postal Service,07/2018,28000
-9786360.5363,5303454.4823,62,MKE,"Custom Express; Federal Express; Jung Express; Southwest Airlines",07/2018,126000
-9786666.6851,5303349.0074,63,MKE,United Parcel Service,07/2018,38000
-10543617.7576,4767880.5002,64,MCI,Federal Express,07/2018,97000
-10543652.6693,4767722.3611,65,MCI, ,07/2018,14000
-10543712.8405,4767264.1654,66,MCI,"Delta Air Lines; Midwest Airlines; Southwest Airlines",07/2018,72000
-10544067.6454,4766058.6584,67,MCI, ,07/2018,63000
-10544121.9439,4765672.3011,68,MCI,American Airlines,07/2018,55000
-10544255.6971,4765370.4182,69,MCI,United States Postal Service,07/2018,68000
-9232848.4871,4839317.2027,70,LCK,United Parcel Service,07/2018,60000
-9053837.2866,3304136.4425,71,MCO,Delta Air Lines,07/2018,53000
-9053833.8869,3303245.5816,72,MCO,"Air France-KLM; Air General; United Air Lines",07/2018,42000
-9053828.7467,3303027.6992,73,MCO,"Capital Cargo International; DHL Airlines; Quantum Aviation",07/2018,59000
-9054170.0109,3301458.3095,74,MCO,Federal Express,07/2018,123000
-9052170.7647,3304622.9402,75,MCO,Southwest Airlines,07/2018,39000
-9052017.0785,3304624.5171,76,MCO,Lufthansa German Airlines,07/2018,39000
-9053941.8618,3303430.3954,77,MCO,USDA,07/2018,51000
-10379990.126,5602134.4891,78,MSP,DHL Airlines,07/2018,25000
-10379723.9316,5601799.0267,79,MSP,Sun Country Airlines,07/2018,93000
-10377683.8524,5601139.5285,80,MSP,Delta Air Lines,07/2018,105000
-10378657.6483,5602618.5243,81,MSP,United Parcel Service,07/2018,66000
-10378560.0489,5603077.4498,82,MSP,Federal Express,07/2018,205000
-13648913.0041,5713062.0857,83,PDX,Federal Express,07/2018,98000
-13648614.5209,5712987.4017,84,PDX,Matheson Flight Extenders,07/2018,109000
-13648549.9853,5713448.5036,85,PDX,Hanjin Global Logistics,07/2018,46000
