X,Y,OBJECTID,State_numb,NHS_Rest_S,Highway_Ro,Mile_Post,Municipali,County,State,Latitude,Longitude,Number_of
-9839867.3119,3565043.0287,1,1,Grand Bay Welcome Center,I-10 EB,0.485,Grand Bay,Mobile,AL,30.477238,-88.393032,90
-9731358.9722,3577769.7706,2,1,Baldwin County Welcome Center,I-10 WB,65.8,Seminole,Baldwin,AL,30.575718,-87.418285,27
-9507540.1154,3633633.3234,3,1,Houston County Welcome Center,US-231 NB / SB,0.706,Cottonwood,Houston,AL,31.006808,-85.407686,8
-9606448.5961,3644501.8971,4,1,Covington  County Rest Area,US-331 NB / SB,8.002,Florala,Covington,AL,31.090454,-86.296196,5
-9697541.892,3676542.3431,5,1,Conecuh County Rest Area (NB),I-65 NB,84.208,Evergreen,Conecuh,AL,31.336613,-87.114501,22
-9689957.8065,3681612.2386,6,1,Conecuh County Rest Area (SB),I-65 SB,89.09,Evergreen,Conecuh,AL,31.375505,-87.046372,28
-9527156.7247,3683737.3117,7,1,Dale County Rest Area,US-231 NB / SB,37.847,Ozark,Dale,AL,31.391802,-85.583905,10
-9481594.8816,3734990.6783,8,1,Barbour County Rest Area,US-431 NB / SB,58.835,Eufaula,Barbour,AL,31.784001,-85.174616,12
-9641454.2345,3747755.3357,9,1,Butler County Rest Area (NB),I-65 NB,132.841,Greenville,Butler,AL,31.881421,-86.610657,12
-9641110.5912,3748414.7681,10,1,Butler County Rest Area (SB),I-65 SB,133.234,Greenville,Butler,AL,31.886451,-86.60757,11
-9840881.3212,3822427.3495,11,1,Sumter County Welcome Center,I-59 NB,0.106,Cuba,Sumter,AL,32.449251,-88.402141,56
-9530972.9795,3828695.0083,12,1,Macon County Rest Area (NB),I-85 NB,43.6,Tuskegee,Macon,AL,32.496751,-85.618187,18
-9529634.4739,3829895.4774,13,1,Macon County Rest Area (SB),I-85 SB,44.55,Tuskegee,Macon,AL,32.505846,-85.606163,17
-9672230.9567,3865959.7771,14,1,Chilton County Rest Area/Maplesville Rest Area,US-82 WB/ EB,105.331,Maplesville,Chilton,AL,32.778647,-86.887129,4
-9791599.292,3874251.3311,15,1,Greene County Rest Area (NB),I-59 NB,37.979,Eutaw,Greene,AL,32.841249,-87.959433,38
-9483594.0683,3874321.8188,16,1,Lanett Welcome Center,I-85 SB,78.78,Lanett,Chambers,AL,32.841781,-85.192575,13
-9789137.6841,3876671.0781,17,1,Greene County Rest Area (SB),I-59 SB,39.776,Eutaw,Greene,AL,32.85951,-87.93732,31
-9643910.1651,3882219.521,18,1,Chilton County Rest Area (NB),I-65 NB,212.915,Clanton,Chilton,AL,32.901368,-86.632719,22
-9644695.8581,3883498.3753,19,1,Chilton County Rest Area (SB),I-65 SB,213.695,Clanton,Chilton,AL,32.911013,-86.639777,24
-9721372.0554,3920311.2248,20,1,Tuscaloosa County Rest Area (NB),I-59 NB,84.621,Cottondale,Tuscaloosa,AL,33.188201,-87.328571,63
-9720310.1788,3920661.4657,21,1,Tuscaloosa County Rest Area (SB),I-59 SB,85.203,Cottondale,Tuscaloosa,AL,33.190834,-87.319032,64
-9503161.1406,3984304.6333,22,1,Robert S. Hardy Welcome Center/Cleburne Welcome Center,I-20 WB,213.199,Heflin,Cleburn,AL,33.667966,-85.368349,17
-9608095.234,4008687.5452,23,1,St. Clair County Rest Area (NB),I-59 NB,164.702,Steele,St. Clair,AL,33.850068,-86.310988,18
-9603253.8381,4012069.4576,24,1,St. Clair County Rest Area (SB),I-59 SB,167.765,Steele,St. Clair,AL,33.875295,-86.267497,19
-9669906.7171,4038208.1497,25,1,Governor Guy Hunt Rest Area/Cullman County Rest Area,I-65 NB,300.506,Cullman,Cullman,AL,34.070022,-86.86625,10
-9669906.7171,4038208.1497,26,1,Governor Guy Hunt Rest Area/Cullman County Rest Area,I-65 SB,301.283,Cullman,Cullman,AL,34.070022,-86.86625,11
-9524159.5587,4124560.577,27,1,Alabama Welcome Center/Dekalb County Welcome Center,I-59 SB,240.852,Valley Head,Dekalb,AL,34.710146,-85.556981,11
-9672555.6758,4158128.9306,28,1,Ardmore WelcomeCenter,I-65 SB,363.72,Ardmore,Limestone,AL,34.957661,-86.890046,48
-10456952.2149,3964116.5013,29,3,Texarkana (WC) (3-12-A),I-30E,7,Texarkana,Miller,AR,33.5169,-93.9364,36
-10381677.9752,4019352.9388,30,3,Gurdon (7-14-B),I-30E,56.1,Gurdon,Clark,AR,33.9296,-93.2602,12
-10380497.9887,4020640.9904,31,3,Gurdon (7-15-B),I-30W,57.1,Gurdon,Clark,AR,33.9392,-93.2496,12
-10340656.7429,4075976.7565,32,3,Social Hill (6-11-B),I-30E,93,Social Hill,Hot Spring,AR,34.3506,-92.8917,18
-10340712.4027,4076125.0756,33,3,Social Hill (6-11-B),I-30W,93,Social Hill,Hot Spring,AR,34.3517,-92.8922,18
-10182538.5382,4141643.5981,34,3,White River (6-8-B),I-40E,198.8,De Valls Bluff,Prairie,AR,34.8362,-91.4713,9
-10182293.6353,4141833.4748,35,3,White River (6-10-B),I-40W,198.8,De Valls Bluff,Prairie,AR,34.8376,-91.4691,10
-10287501.686,4163337.5734,36,3,Conway East,I-40E,133,Mayflower,Faulkner,AR,34.996,-92.4142,25
-10287434.8944,4163378.3402,37,3,Conway West,I-40W,134,Mayflower,Faulkner,AR,34.9963,-92.4136,25
-10115023.267,4163799.6067,38,3,Forrest City (1-9-B),I-40E,235.3,Forrest City,St. Francis,AR,34.9994,-90.8648,15
-10103272.6042,4169117.091,39,3,Forrest City (1-8-B),I-40W,242.6,Forrest City,St. Francis,AR,35.03852,-90.759242,30
-10046731.3198,4184612.3916,40,3,West Memphis Truck Parking (B),I-40W,274.5,West Memphis,Crittenden,AR,35.15241,-90.251323,15
-10045626.1399,4185101.862,41,3,West Memphis Truck Parking (A),I-40W,274,West Memphis,Crittenden,AR,35.156005,-90.241395,25
-10384449.8306,4209759.2833,42,3,Big Piney (8-9-B),I-40W,72.5,London,Pope,AR,35.3369,-93.2851,8
-10391173.5278,4214058.6179,43,3,Big Piney (8-8-B),I-40E,67.5,Knoxville,Johnson,AR,35.3684,-93.3455,9
-10508459.1867,4226382.2997,44,3,Van Buren (WC) (4-8-A),I-40E,2.6,Van Buren,Crawford,AR,35.458624,-94.399095,13
-10445898.1895,4234417.9393,45,3,Ozark (4-10-B),I-40W,36.5,Ozark,Franklin,AR,35.5174,-93.8371,12
-10447445.5304,4234910.3091,46,3,Ozark (4-9-B),1-40E,35.3,Ozark,Franklin,AR,35.521,-93.851,13
-10037700.7488,4236086.6156,47,3,Bardstown,I-55S,35,Bassett,Mississippi,AR,35.5296,-90.1702,26
-10027158.793,4254047.7939,48,3,Hilton,I-55N,45,Keiser,Mississippi,AR,35.6608,-90.0755,25
-10004949.33,4292633.8312,49,3,Blytheville (WC) (10-12-A),I-55S,68.4,Blytheville,Mississippi,AR,35.941929,-89.875989,16
-12360359.6602,3732607.3467,50,2,Canoa Ranch (NB),I-19N,33,Arivaca Junction,Pima,AZ,31.7658,-111.035,14
-12360259.4727,3733262.0255,51,2,Canoa Ranch (SB),I-19S,33,Arivaca Junction,Pima,AZ,31.7708,-111.0341,20
-12253704.4561,3771228.5445,52,2,Texas Canyon (EB),I-10E,320,Dragoon,Cochise,AZ,32.0603,-110.0769,22
-12253849.1715,3771294.2206,53,2,Texas Canyon (WB),I-10W,320,Dragoon,Cochise,AZ,32.0608,-110.0782,22
-12143848.7053,3794373.6687,54,2,San Simon (EB),I-10E,389,San Simon,Cochise,AZ,32.236337,-109.090049,17
-12143562.0576,3794704.5305,55,2,San Simon (WB),I-10W,389,San Simon,Cochise,AZ,32.238851,-109.087474,17
-12658929.6665,3859599.9704,56,2,Mohawk (EB),I-8E,55,Owl,Yuma,AZ,32.7306,-113.7171,10
-12658751.5553,3859785.2349,57,2,Mohawk (WB),I-8W,55,Owl,Yuma,AZ,32.732,-113.7155,11
-12608613.2566,3875397.6044,58,2,Sentinel (EB),I-8E,84,Sentinel,Maricopa,AZ,32.8499,-113.2651,12
-12607221.763,3876033.6615,59,2,Sentinel (WB),I-8W,84,Sentinel,Maricopa,AZ,32.8547,-113.2526,12
-12442468.9167,3899034.3626,60,2,Sacaton (WB),I-10W,183,Sacaton,Pinal,AZ,33.0281,-111.7726,15
-12443771.3547,3900959.767,61,2,Sacaton (EB),I-10E,181,Sacaton,Pinal,AZ,33.0426,-111.7843,18
-12586917.0879,3964517.0711,62,2,Burnt Well (EB),I-10E,86,Tonopah,Maricopa,AZ,33.5199,-113.0702,30
-12586594.2613,3964650.5975,63,2,Burnt Well (WB),I-10W,86,Tonopah,Maricopa,AZ,33.5209,-113.0673,32
-12651092.7743,3976888.1689,64,2,Bouse Wash (EB),I-10E,52,Harcuvar,La Paz,AZ,33.6125,-113.6467,12
-12650903.5312,3977088.6739,65,2,Bouse Wash (WB),I-10W,52,Harcuvar,La Paz,AZ,33.614,-113.645,13
-12740781.8862,3977701.5726,66,2,Ehrenberg (EB),I-10E,5,Ehrenberg,La Paz,AZ,33.618585,-114.452391,15
-12740267.7015,3978021.7366,67,2,Ehrenberg (WB),I-10W,5,Ehrenberg,La Paz,AZ,33.62098,-114.447772,16
-12482777.7043,4053750.8812,68,2,Sunset Point (SB/NB Both),I-17S,252,Bumble Bee,Yavapai,AZ,34.1856,-112.1347,28
-12442527.5821,4119491.8073,69,2,McGuireville (NB),I-17N,298,Lake Montezuma,Yavapai,AZ,34.672707,-111.773127,20
-12442502.3125,4119707.4327,70,2,McGuireville (SB),I-17S,297,Lake Montezuma,Yavapai,AZ,34.6743,-111.7729,20
-12706518.7488,4140965.4933,71,2,Haviland (EB),I-40E,23,Yucca,Mohave,AZ,34.8312,-114.1446,7
-12706641.2002,4141046.8638,72,2,Haviland (WB),I-40W,23,Yucca,Mohave,AZ,34.8318,-114.1457,7
-12355617.4499,4178050.5394,73,2,Meteor Crater (WB),I-40W,235,Moqui,Coconino,AZ,35.1042,-110.9924,32
-12356975.5477,4178213.824,74,2,Meteor Crater (EB),I-40E,235,Moqui,Coconino,AZ,35.1054,-111.0046,33
-12789575.1114,3860537.3058,75,4,Sand Hills,I-8,PM 80.2,Winterhaven,Imperial,CA,32.737683,-114.890708,2
-12966990.6612,3863214.3425,76,4,Buckman Springs,I-8,PM 49.0,Pine Valley,San Diego,CA,32.757909,-116.484459,18
-12876179.6716,3865286.267,77,4,Sunbeam Eastbound,I-8 E,PM 31.2,Seeley,Imperial,CA,32.77356,-115.66869,9
-12876222.1956,3865445.5386,78,4,Sunbeam Westbound,I-8W,PM 31.2,Seeley,Imperial,CA,32.774763,-115.669072,8
-13072972.3824,3931119.2748,79,4,Aliso Creek Northbound,I-5N,PM 59.4,Camp Pendleton,San Diego,CA,33.269416,-117.436509,27
-13073832.2142,3931494.34,80,4,Aliso Creek Southbound,I-5S,PM 60.0,Camp Pendleton,San Diego,CA,33.272233,-117.444233,29
-13042377.5562,3939174.1861,81,4,SR-76/I-15,SR-76,PM 17.1,San Diego,San Diego,CA,33.329894,-117.161671,11
-12790686.8592,3976627.9185,82,4,Wiley's Well,I-10W,PM 134.9,East Blythe,Riverside,CA,33.610553,-114.900695,7
-12909300.5596,3985781.9183,83,4,Cactus City Eastbound,I-10 E,PM 71.8,Thousand Palms,Riverside,CA,33.67901,-115.96622,6
-12909300.5596,3985781.9183,84,4,Cactus City Westbound,I-10 W,PM 71.8,Thousand Palms,Riverside,CA,33.67901,-115.96622,6
-12986958.9288,4018359.7624,85,4,Whitewater Eastbound,I-10,PM 26.2,White water,Riverside,CA,33.922197,-116.663837,19
-12986997.4454,4018498.7456,86,4,Whitewater Westbound,I-10,PM 26.2,Snow Creek,Riverside,CA,33.923233,-116.664183,12
-13026584.994,4023146.1299,87,4,Brookside,I-10W,PM 4.0,Beaumont,Riverside,CA,33.957868,-117.019804,4
-13033002.3401,4030480.1914,88,4,Wildwood,I-10E,PM 28.2,Yucaipa,San Bernardino,CA,34.012497,-117.077452,21
-13383826.0492,4094131.3179,89,4,Gaviota Northbound,US101N,PM 46.9,Gaviota,Santa Barbara,CA,34.485135,-120.228955,3
-13383838.851,4094133.3437,90,4,Gaviota Southbound,US101 S,PM 46.3,Gaviota,Santa Barbara,CA,34.48515,-120.22907,4
-12970912.5582,4136778.4305,91,4,Desert Oasis Eastbound,I-40 E,PM 28.4,Newberry Springs,San Bernardino,CA,34.80032,-116.51969,8
-12970912.5582,4136778.4305,92,4,Desert Oasis Westbound,I-40 W,PM 28.4,Newberry Springs,San Bernardino,CA,34.80032,-116.51969,8
-12826145.9019,4137874.9421,93,4,John Wilkie Eastbound,I-40E,PM 105.3,Fenner,San Bernardino,CA,34.808408,-115.219229,9
-12826179.1864,4138120.3434,94,4,John Wilkie Westbound,I-40W,PM 105.3,Fenner,San Bernardino,CA,34.810218,-115.219528,9
-13232607.5378,4140221.1174,95,4,Tejon Pass Northbound,I-5N,PM 1.0,Lebec,Kern,CA,34.825711,-118.870536,49
-13232863.1273,4140699.5519,96,4,Tejon Pass Southbound,I-5S M,PM 1.0,Lebec,Kern,CA,34.829239,-118.872832,40
-13104379.2843,4164785.297,97,4,Boron Westbound,Hwy 58 W,PM 139.0,Boron,Kern,CA,35.006653,-117.718642,17
-13104247.7046,4164828.3795,98,4,Boron Eastbound,Hwy 58 E,PM 139.0,Boron,Kern,CA,35.00697,-117.71746,17
-12965410.4811,4168226.1806,99,4,Clyde V. Kane Northbound,I-15 N,PM 107.4,Camp Irwin,San Bernardino,CA,35.031967,-116.470264,23
-12965406.6962,4168561.4363,100,4,Clyde V. Kane Southbound,I-15 S,PM 107.4,Camp Irwin,San Bernardino,CA,35.034433,-116.47023,23
-13294101.9831,4220782.5912,101,4,Buttonwillow Northbound,I-5 N,PM 54.1,Buttonwillow,Kern,CA,35.41764,-119.42295,33
-13294101.9831,4220782.5912,102,4,Buttonwillow Southbound,I-5 S,PM 54.1,Buttonwillow,Kern,CA,35.41764,-119.42295,33
-12880386.4351,4222846.7626,103,4,Valley Wells Northbound,I-15 N,PM 160.8,Halloran Springs,San Bernardino,CA,35.43275,-115.70648,17
-12880386.4351,4222846.7626,104,4,Valley Wells Southbound,I-15 S,PM 160.8,Halloran Springs,San Bernardino,CA,35.43275,-115.70648,17
-13396990.8035,4256109.4639,105,4,Shandon,Hwy 46,PM 49.6,Cholame,San Luis Obispo,CA,35.675846,-120.347216,17
-13442774.729,4277415.9716,106,4,Camp Roberts Northbound,US101N,PM 3.1,Bradley,Monterey,CA,35.831174,-120.7585,8
-13444289.7873,4280240.1545,107,4,Camp Roberts Southbound,US101 S,PM 5.1,Bradley,Monterey,CA,35.85174,-120.77211,16
-13129779.7204,4306776.7965,108,4,Coso Junction,US395N,PM 17.9,Dunmovin,Inyo,CA,36.044722,-117.946818,11
-13370927.9051,4313015.2032,109,4,Coalinga/Avenal Northbound,I-5N,PM 1.3,Avenal,Fresno,CA,36.090021,-120.113089,23
-13283004.543,4315245.5628,110,4,Phillip S. Raine Northbound,Hwy 99 N,PM 22.3,Tipton,Tulare,CA,36.10621,-119.32326,38
-13283134.1189,4315586.722,111,4,Phillip S. Raine Southbound,Hwy 99S,PM 22.3,Tipton,Tulare,CA,36.108686,-119.324424,38
-13305020.9779,4368536.0372,112,4,C. H. Warlow,US99,PM 51.8,Kingsburg,Tulare,CA,36.492024,-119.521037,9
-13445539.9051,4420196.2759,113,4,John Chuck Erreca Northbound,I-5 N,PM 0.7,Los Banos,Merced,CA,36.86421,-120.78334,31
-13445539.9051,4420196.2759,114,4,John Chuck Erreca Southbound,I-5 S,PM 0.7,Los Banos,Merced,CA,36.86421,-120.78334,31
-13445451.74,4420242.4702,115,4,Coalinga/Avenal Southbound,I-5S,PM 1.4,Hamburg Farms,Fresno,CA,36.864542,-120.782548,23
-13162409.9123,4431543.5534,116,4,Division Creek,US 395,PM 83.9,Independence,Inyo,CA,36.94572,-118.23994,9
-13450450.6532,4504042.9739,117,4,Enoch Christofferson Southbound,Hwy 99 S,PM 0.5,Turlock,Stanislaus,CA,37.46444,-120.827454,24
-13450833.1469,4504337.4996,118,4,Enoch Christofferson Northbound,Hwy 99 N,PM 0.5,Turlock,Stanislaus,CA,37.46654,-120.83089,23
-13621881.1105,4514857.495,119,4,Crystal Springs,I-280,PM 13.5,Belmont,San Mateo,CA,37.54151,-122.36744,4
-13505596.7703,4520632.0576,120,4,Westley Southbound,I-5 S,PM 27.2,Vernalis,Stanislaus,CA,37.58263,-121.32284,16
-13505638.1812,4520702.0123,121,4,Westley Northbound,I-5N MM,PM 27.2,Vernalis,Stanislaus,CA,37.583128,-121.323212,18
-13243598.8904,4541493.9576,122,4,Crestview,US 395,PM 32.4,Crestview,Mono,CA,37.730996,-118.969273,9
-13537772.222,4674855.2994,123,4,Elkhorn,I-5 S,PM 34.1,Sacramento,Sacramento,CA,38.672411,-121.611877,14
-13578360.7556,4705561.1193,124,4,Dunnigan Northbound,I-5 N,PM 26.0,Dunnigan,Yolo,CA,38.88744,-121.97649,12
-13578360.7556,4705561.1193,125,4,Dunnigan Southbound,I-5 S,PM 26.0,Dunnigan,Yolo,CA,38.88744,-121.97649,12
-13453820.962,4746834.5303,126,4,Gold Run Eastbound,I-80 E,PM 41.4,Gold Run,Placer,CA,39.17545,-120.85773,24
-13453820.962,4746834.5303,127,4,Gold Run Westbound,I-80 W,PM 41.4,Gold Run,Placer,CA,39.17545,-120.85773,16
-13601221.1035,4756362.0261,128,4,Maxwell Northbound,I-5N,PM 24.3,Maxwell,Colusa,CA,39.241767,-122.181848,10
-13601221.1035,4756362.0261,129,4,Maxwell Southbound,I-5S,PM 24.3,Maxwell,Colusa,CA,39.241767,-122.181848,10
-13396279.9173,4770675.5737,130,4,Donner Summit Eastbound,I-80 E,PM 5.6,Soda Springs,Nevada,CA,39.34128,-120.34083,12
-13396194.3125,4770799.6492,131,4,Donner Summit Westbound,I-80,PM 5.6,Soda Springs,Nevada,CA,39.342142,-120.340061,9
-13739607.038,4800867.3223,132,4,Moss Cove,US101,PM 58.9,Longvale,Mendocino,CA,39.55072,-123.42499,6
-13741823.409,4805553.2833,133,4,Irvine Lodge,US101,PM 61.5,Laytonville,Mendocino,CA,39.58317,-123.4449,9
-13604262.5746,4806908.2163,134,4,Willows Northbound,I-5 N,PM 14.6,Artois,Glenn,CA,39.59255,-122.20917,17
-13604262.5746,4806908.2163,135,4,Willows Southbound,I-5 S,PM 14.6,Artois,Glenn,CA,39.59255,-122.20917,17
-13404514.22,4840445.686,136,4,L. T. Davis,Hwy 70,PM R79.1,Portola,Plumas,CA,39.82432,-120.4148,8
-13758619.2938,4840786.3128,137,4,Empire Camp,US101,PM 82.5,Cummings,Mendocino,CA,39.82667,-123.59578,5
-13603289.6424,4858712.4724,138,4,Lt. John Helmick Northbound,I-5 N,PM 10.5,Corning,Tehama,CA,39.95023,-122.20043,13
-13603289.6424,4858712.4724,139,4,Lt. John Helmick Southbound,I-5 S,PM 10.5,Corning,Tehama,CA,39.95023,-122.20043,14
-13410049.1364,4903304.7036,140,4,Honey Lake,US 395 S,PM 49.6,Buntingville,Lassen,CA,40.256625,-120.464521,13
-13611091.3575,4905247.1131,141,4,Herbert S. Miles Southbound,I-5S,PM 34.7,Red Bluff,Tehama,CA,40.26994,-122.270514,25
-13611120.9685,4905891.993,142,4,Herbert S. Miles Northbound,I-5 N,PM 35.0,Red Bluff,Tehama,CA,40.27436,-122.27078,12
-13487774.4086,4910043.5774,143,4,Lake Almanor,Hwy 36,PM 12.8,Chester,Plumas,CA,40.302808,-121.162739,5
-13562383.403,4939750.0729,144,4,Shingletown,HWY 44,PM 34.7,Viola,Shasta,CA,40.506017,-121.832963,1
-13479790.9087,4951534.3467,145,4,Bogard,Hwy 44,PM 14.5,Susanville,Lassen,CA,40.586458,-121.091022,9
