longitude,latitude,number_of
-88.393032,30.477238,90
-87.418285,30.575718,27
-85.407686,31.006808,8
-86.296196,31.090454,5
-87.114501,31.336613,22
-87.046372,31.375505,28
-85.583905,31.391802,10
-85.174616,31.784001,12
-86.610657,31.881421,12
-86.60757,31.886451,11
-88.402141,32.449251,56
-85.618187,32.496751,18
-85.606163,32.505846,17
-86.887129,32.778647,4
-87.959433,32.841249,38
-85.192575,32.841781,13
-87.93732,32.85951,31
-86.632719,32.901368,22
-86.639777,32.911013,24
-87.328571,33.188201,63
-87.319032,33.190834,64
-85.368349,33.667966,17
-86.310988,33.850068,18
-86.267497,33.875295,19
-86.86625,34.070022,10
-86.86625,34.070022,11
-85.556981,34.710146,11
-86.890046,34.957661,48
-93.9364,33.5169,36
-93.2602,33.9296,12
-93.2496,33.9392,12
-92.8917,34.3506,18
-92.8922,34.3517,18
-91.4713,34.8362,9
-91.4691,34.8376,10
-92.4142,34.996,25
-92.4136,34.9963,25
-90.8648,34.9994,15
-90.759242,35.03852,30
-90.251323,35.15241,15
-90.241395,35.156005,25
-93.2851,35.3369,8
-93.3455,35.3684,9
-94.399095,35.458624,13
-93.8371,35.5174,12
-93.851,35.521,13
-90.1702,35.5296,26
-90.0755,35.6608,25
-89.875989,35.941929,16
-111.035,31.7658,14
-111.0341,31.7708,20
-110.0769,32.0603,22
-110.0782,32.0608,22
-109.090049,32.236337,17
-109.087474,32.238851,17
-113.7171,32.7306,10
-113.7155,32.732,11
-113.2651,32.8499,12
-113.2526,32.8547,12
-111.7726,33.0281,15
-111.7843,33.0426,18
-113.0702,33.5199,30
-113.0673,33.5209,32
-113.6467,33.6125,12
-113.645,33.614,13
-114.452391,33.618585,15
-114.447772,33.62098,16
-112.1347,34.1856,28
-111.773127,34.672707,20
-111.7729,34.6743,20
-114.1446,34.8312,7
-114.1457,34.8318,7
-110.9924,35.1042,32
-111.0046,35.1054,33
-114.890708,32.737683,2
-116.484459,32.757909,18
-115.66869,32.77356,9
-115.669072,32.774763,8
-117.436509,33.269416,27
-117.444233,33.272233,29
-117.161671,33.329894,11
-114.900695,33.610553,7
-115.96622,33.67901,6
-115.96622,33.67901,6
-116.663837,33.922197,19
-116.664183,33.923233,12
-117.019804,33.957868,4
-117.077452,34.012497,21
-120.228955,34.485135,3
-120.22907,34.48515,4
-116.51969,34.80032,8
-116.51969,34.80032,8
-115.219229,34.808408,9
-115.219528,34.810218,9
-118.870536,34.825711,49
-118.872832,34.829239,40
-117.718642,35.006653,17
-117.71746,35.00697,17
-116.470264,35.031967,23
-116.47023,35.034433,23
-119.42295,35.41764,33
-119.42295,35.41764,33
-115.70648,35.43275,17
-115.70648,35.43275,17
-120.347216,35.675846,17
-120.7585,35.831174,8
-120.77211,35.85174,16
-117.946818,36.044722,11
-120.113089,36.090021,23
-119.32326,36.10621,38
-119.324424,36.108686,38
-119.521037,36.492024,9
-120.78334,36.86421,31
-120.78334,36.86421,31
-120.782548,36.864542,23
-118.23994,36.94572,9
-120.827454,37.46444,24
-120.83089,37.46654,23
-122.36744,37.54151,4
-121.32284,37.58263,16
-121.323212,37.583128,18
-118.969273,37.730996,9
-121.611877,38.672411,14
-121.97649,38.88744,12
-121.97649,38.88744,12
-120.85773,39.17545,24
-120.85773,39.17545,16
-122.181848,39.241767,10
-122.181848,39.241767,10
-120.34083,39.34128,12
-120.340061,39.342142,9
-123.42499,39.55072,6
-123.4449,39.58317,9
-122.20917,39.59255,17
-122.20917,39.59255,17
-120.4148,39.82432,8
-123.59578,39.82667,5
-122.20043,39.95023,13
-122.20043,39.95023,14
-120.464521,40.256625,13
-122.270514,40.26994,25
-122.27078,40.27436,12
-121.162739,40.302808,5
-121.832963,40.506017,1
-121.091022,40.586458,9
-122.94389,40.66802,7
-122.317791,40.793304,5
-121.89173,40.86488,4
-123.547652,40.883325,5
-122.398353,40.917495,18
-124.15018,41.09215,8
-124.15081,41.12515,7
-122.456538,41.477894,18
-122.46298,41.49205,15
-122.1669,41.642677,11
-122.570903,41.852945,39
-123.74719,41.9667,4
-104.494954,37.225713,20
-102.605707,37.763662,13
-104.797093,37.962677,10
-102.051339,38.049286,6
-104.607281,38.45212,20
-104.625744,38.499989,20
-108.73637,39.153352,7
-104.877918,39.230246,25
-103.270788,39.282241,9
-102.266117,39.296579,12
-107.786393,39.525246,7
-106.217674,39.527123,6
-107.291627,39.560135,3
-107.2524,39.5608,7
-107.475926,39.572453,6
-107.139601,39.614271,6
-106.590636,39.64514,11
-107.070393,39.646792,48
-106.415311,40.167179,6
-104.054238,40.245305,30
-108.445284,40.356439,4
-107.375157,40.499309,6
-105.007601,40.564189,25
-103.179896,40.620531,25
-73.504342,41.068057,70
-73.461237,41.080465,20
-73.259458,41.145866,29
-73.259458,41.145866,33
-73.008469,41.245797,45
-73.009992,41.24718,22
-72.83402,41.285298,16
-72.833663,41.286716,10
-72.580125,41.291102,11
-72.580125,41.291102,16
-73.519772,41.39021,40
-71.851675,41.416704,34
-72.779379,41.460121,59
-72.117329,41.47331,9
-72.742592,41.554019,37
-72.904539,41.573177,21
-71.877993,41.753994,9
-71.87761,41.754282,9
-72.297495,41.892947,7
-72.297163,41.894171,24
-75.6175,39.3235,28
-75.691258,39.662113,65
-80.5813,24.9546,4
-80.387353,25.661735,30
-80.6304,26.1469,60
-81.0785,26.1674,15
-81.077039,26.169552,37
-80.18326,26.226162,40
-81.7922,26.5497,74
-80.174779,26.634455,26
-81.985993,26.879157,33
-81.985,26.8799,33
-81.998,26.8933,32
-80.2054,27.0049,18
-80.341,27.1264,82
-80.333,27.1274,60
-80.4008,27.1891,34
-80.372992,27.302214,50
-80.4215,27.4647,43
-80.4176,27.4663,44
-82.6142,27.5847,16
-80.822712,27.601403,50
-82.6757,27.6487,14
-82.420645,27.682603,36
-82.4206,27.6926,43
-80.6037,27.9339,60
-80.6089,27.9481,67
-82.2652,28.0155,15
-82.2727,28.0185,15
-81.27424,28.094693,35
-81.7715,28.1691,23
-81.7669,28.1742,23
-82.3736,28.2137,51
-82.3685,28.2164,51
-81.4997,28.51474,23
-82.2128,28.5848,43
-82.211,28.5871,33
-80.8781,28.6869,33
-81.3849,28.7019,16
-80.8878,28.7088,35
-81.374,28.7255,17
-81.98277,28.78708,75
-82.1439,28.9929,29
